Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Workout_Intensity,Calories_per_Min,HRR,BMI_Category,Hydration_per_Kg
18,Female,62.3,1.6,192.0,134.0,69.0,0.87,367.0,Aerobics,28.4,2.3,4,Intermediate,24.3,0.698,7.031,123.0,Normal,0.037
30,Male,75.0,1.7,181.0,147.0,64.0,0.58,450.0,CrossFit,19.1,2.2,2,Intermediate,26.0,0.812,12.931,117.0,Overweight,0.029
45,Female,70.2,1.57,179.0,116.0,81.0,0.59,218.0,Yoga,40.0,2.1,3,Beginner,28.5,0.648,6.158,98.0,Overweight,0.03
35,Male,80.4,1.86,175.0,119.0,88.0,0.52,209.0,Pilates,22.8,2.2,2,Beginner,23.3,0.68,6.699,87.0,Normal,0.027
51,Male,76.6,1.7,173.0,124.0,61.0,0.94,541.0,Running,20.2,2.7,3,Advanced,26.6,0.717,9.592,112.0,Overweight,0.035
41,Male,87.4,1.74,189.0,156.0,77.0,0.65,564.0,Swimming,29.7,2.9,2,Beginner,28.9,0.825,14.462,112.0,Overweight,0.033
24,Female,58.8,1.67,202.0,156.0,81.0,0.72,335.0,Tennis,24.9,1.9,3,Beginner,21.0,0.772,7.755,121.0,Normal,0.032
38,Male,76.2,1.9,178.0,141.0,71.0,0.61,449.0,HIIT,9.7,2.5,4,Intermediate,21.1,0.792,12.268,107.0,Normal,0.033
28,Female,75.5,1.66,202.0,155.0,68.0,0.72,544.0,Rowing,33.9,2.5,4,Intermediate,27.6,0.767,12.593,134.0,Overweight,0.033
31,Male,79.8,1.82,191.0,150.0,70.0,0.75,589.0,Cycling,19.2,2.4,2,Beginner,24.2,0.785,13.089,121.0,Normal,0.03
18,Female,65.3,1.67,202.0,150.0,63.0,0.56,253.0,Tennis,28.8,2.0,4,Beginner,23.3,0.743,7.53,139.0,Normal,0.031
34,Female,49.8,1.55,176.0,117.0,65.0,0.83,285.0,Tennis,20.9,1.8,3,Intermediate,20.6,0.665,5.723,111.0,Normal,0.036
20,Male,77.2,1.78,204.0,170.0,73.0,0.82,622.0,Running,19.0,2.5,2,Beginner,24.5,0.833,12.642,131.0,Normal,0.032
25,Female,79.9,1.65,187.0,125.0,76.0,0.58,229.0,Pilates,35.4,2.4,2,Beginner,29.4,0.668,6.58,111.0,Overweight,0.03
29,Female,68.9,1.57,195.0,161.0,66.0,0.62,425.0,HIIT,33.2,2.3,5,Intermediate,28.1,0.826,11.425,129.0,Overweight,0.033
60,Non-binary,66.5,1.76,168.0,103.0,77.0,0.69,253.0,Walking,21.8,2.3,3,Beginner,21.5,0.613,6.111,91.0,Normal,0.035
35,Male,81.5,1.85,192.0,170.0,77.0,0.63,549.0,Running,15.7,2.6,2,Beginner,23.9,0.885,14.524,115.0,Normal,0.032
43,Male,73.2,1.89,179.0,106.0,70.0,0.62,236.0,Walking,14.7,2.1,2,Intermediate,20.5,0.592,6.344,109.0,Normal,0.029
53,Female,92.4,1.67,171.0,122.0,65.0,0.87,627.0,Tennis,36.7,2.7,5,Advanced,33.3,0.713,12.011,106.0,Obese,0.029
18,Female,76.2,1.63,197.0,170.0,77.0,0.5,395.0,CrossFit,36.4,2.6,3,Beginner,28.6,0.863,13.167,120.0,Overweight,0.034
39,Female,45.0,1.52,188.0,152.0,62.0,0.78,344.0,Running,23.6,1.8,5,Intermediate,18.5,0.809,7.35,126.0,Normal,0.04
18,Female,69.5,1.56,192.0,121.0,81.0,0.5,200.0,Pilates,36.5,2.3,3,Beginner,28.7,0.63,6.667,111.0,Overweight,0.033
44,Female,53.2,1.53,184.0,140.0,74.0,0.9,406.0,Cycling,27.1,2.2,2,Intermediate,22.7,0.761,7.519,110.0,Normal,0.041
43,Male,86.9,1.84,181.0,133.0,76.0,0.66,394.0,Aerobics,18.1,2.7,2,Beginner,25.7,0.735,9.949,105.0,Overweight,0.031
18,Male,77.2,1.67,205.0,156.0,74.0,0.64,388.0,Running,26.8,2.5,4,Beginner,27.8,0.761,10.104,131.0,Overweight,0.032
25,Male,81.4,1.79,193.0,160.0,77.0,0.65,518.0,Rowing,18.1,2.4,5,Beginner,25.5,0.829,13.282,116.0,Overweight,0.029
52,Female,77.6,1.68,169.0,130.0,62.0,1.1,806.0,Rowing,30.0,2.4,3,Advanced,27.5,0.769,12.212,107.0,Overweight,0.031
41,Female,58.8,1.53,171.0,141.0,67.0,1.05,638.0,Running,28.0,2.0,3,Intermediate,24.9,0.825,10.127,104.0,Normal,0.034
18,Female,58.2,1.69,198.0,157.0,74.0,0.72,363.0,Swimming,22.8,2.1,3,Beginner,20.4,0.793,8.403,124.0,Normal,0.036
21,Female,76.9,1.77,190.0,134.0,61.0,0.85,495.0,Tennis,26.2,2.6,3,Intermediate,24.6,0.705,9.706,129.0,Normal,0.034
25,Male,98.3,1.73,205.0,150.0,76.0,0.71,473.0,Running,32.5,2.9,2,Beginner,32.7,0.732,11.103,129.0,Obese,0.03
23,Female,80.3,1.65,196.0,161.0,74.0,0.86,730.0,Running,39.8,2.4,3,Beginner,29.4,0.821,14.147,122.0,Overweight,0.03
51,Male,87.3,1.74,176.0,147.0,70.0,0.81,778.0,Running,25.7,2.9,3,Intermediate,28.8,0.835,16.008,106.0,Overweight,0.033
53,Female,69.4,1.65,167.0,116.0,65.0,0.8,385.0,Tennis,33.2,2.5,5,Advanced,25.6,0.695,8.021,102.0,Overweight,0.036
55,Male,62.2,1.56,160.0,113.0,75.0,0.69,327.0,Running,20.2,2.3,5,Intermediate,25.7,0.706,7.899,85.0,Overweight,0.037
23,Female,70.6,1.61,197.0,150.0,78.0,0.5,249.0,Aerobics,30.6,2.3,5,Beginner,27.2,0.761,8.3,119.0,Overweight,0.033
29,Male,89.7,1.81,187.0,153.0,71.0,0.56,543.0,HIIT,23.7,2.7,4,Beginner,27.3,0.818,16.161,116.0,Overweight,0.03
31,Non-binary,50.2,1.59,189.0,137.0,63.0,0.94,329.0,Strength Training,16.0,1.8,3,Intermediate,20.0,0.725,5.833,126.0,Normal,0.036
20,Male,79.4,1.84,197.0,161.0,73.0,0.75,661.0,Running,15.2,2.3,3,Beginner,23.4,0.817,14.689,124.0,Normal,0.029
28,Non-binary,74.2,1.74,195.0,133.0,63.0,0.7,383.0,Tennis,24.5,2.3,4,Intermediate,24.4,0.682,9.119,132.0,Normal,0.031
42,Female,82.2,1.54,182.0,152.0,70.0,0.54,477.0,HIIT,40.0,2.3,3,Beginner,34.5,0.835,14.722,112.0,Obese,0.028
32,Female,69.7,1.56,196.0,170.0,64.0,0.7,468.0,Running,37.4,2.3,3,Beginner,28.7,0.867,11.143,132.0,Overweight,0.033
37,Male,87.2,1.79,193.0,116.0,65.0,0.81,343.0,Yoga,18.8,2.6,5,Advanced,27.3,0.601,7.058,128.0,Overweight,0.03
18,Female,52.7,1.69,192.0,109.0,74.0,0.71,200.0,Pilates,20.1,2.0,4,Intermediate,18.5,0.568,4.695,118.0,Normal,0.038
35,Female,68.0,1.8,184.0,143.0,75.0,0.52,273.0,Running,27.5,2.0,3,Beginner,21.0,0.777,8.75,109.0,Normal,0.029
39,Female,93.9,1.68,176.0,145.0,73.0,0.5,504.0,CrossFit,39.8,2.5,2,Beginner,33.3,0.824,16.8,103.0,Obese,0.027
49,Male,58.2,1.77,163.0,101.0,72.0,0.6,200.0,Yoga,17.3,1.8,3,Beginner,18.5,0.62,5.556,91.0,Normal,0.031
33,Male,100.1,1.82,197.0,161.0,72.0,0.66,697.0,CrossFit,27.4,2.9,2,Intermediate,30.3,0.817,17.601,125.0,Obese,0.029
31,Male,108.1,1.9,195.0,160.0,77.0,0.56,587.0,CrossFit,26.1,3.1,4,Intermediate,30.1,0.821,17.47,118.0,Obese,0.029
52,Female,64.1,1.61,161.0,130.0,65.0,0.68,494.0,HIIT,29.4,2.0,4,Intermediate,24.8,0.807,12.108,96.0,Normal,0.031
29,Male,94.7,1.78,186.0,124.0,59.0,0.9,598.0,Aerobics,17.2,2.8,4,Advanced,29.8,0.667,11.074,127.0,Overweight,0.03
55,Female,51.0,1.54,164.0,100.0,67.0,1.1,301.0,Walking,21.6,2.0,5,Advanced,21.5,0.61,4.561,97.0,Normal,0.039
38,Male,67.2,1.72,178.0,130.0,76.0,0.65,440.0,Rowing,13.0,2.1,5,Intermediate,22.7,0.73,11.282,102.0,Normal,0.031
37,Male,92.3,1.88,186.0,148.0,72.0,0.62,513.0,Swimming,23.7,2.7,2,Beginner,26.1,0.796,13.79,114.0,Overweight,0.029
27,Female,63.2,1.64,183.0,110.0,67.0,1.04,329.0,Walking,25.4,2.3,5,Advanced,23.4,0.601,5.272,116.0,Normal,0.036
47,Male,82.2,1.73,171.0,100.0,72.0,0.71,280.0,Pilates,25.8,2.3,2,Intermediate,27.5,0.585,6.573,99.0,Overweight,0.028
49,Female,76.5,1.7,167.0,126.0,68.0,0.66,493.0,Rowing,32.1,2.4,4,Intermediate,26.5,0.754,12.449,99.0,Overweight,0.031
54,Male,90.1,1.79,172.0,137.0,74.0,0.5,387.0,Rowing,28.1,2.7,2,Beginner,28.0,0.797,12.9,98.0,Overweight,0.03
32,Male,69.1,1.84,193.0,147.0,77.0,1.06,703.0,Swimming,14.9,2.2,2,Intermediate,20.5,0.762,11.053,116.0,Normal,0.032
31,Female,71.1,1.69,186.0,128.0,60.0,0.8,366.0,Running,29.7,2.2,5,Intermediate,24.9,0.688,7.625,126.0,Normal,0.031
18,Male,73.1,1.81,206.0,135.0,79.0,0.67,254.0,Pilates,15.4,2.1,3,Beginner,22.3,0.655,6.318,127.0,Normal,0.029
18,Female,72.0,1.64,209.0,170.0,82.0,0.5,394.0,CrossFit,31.7,2.1,3,Beginner,26.9,0.813,13.133,127.0,Overweight,0.029
35,Female,51.1,1.61,177.0,127.0,68.0,0.72,287.0,Running,22.5,1.8,3,Intermediate,19.6,0.718,6.644,109.0,Normal,0.035
23,Male,103.9,1.98,191.0,140.0,68.0,0.79,556.0,Aerobics,18.7,3.0,5,Intermediate,26.5,0.733,11.73,123.0,Overweight,0.029
18,Female,72.3,1.74,198.0,143.0,65.0,0.86,455.0,Tennis,25.6,2.4,4,Intermediate,24.0,0.722,8.818,133.0,Normal,0.033
61,Male,65.3,1.83,160.0,108.0,79.0,0.66,287.0,Running,13.3,2.2,4,Intermediate,19.5,0.675,7.247,81.0,Normal,0.034
45,Male,79.1,1.9,169.0,147.0,79.0,0.5,458.0,CrossFit,16.1,2.3,5,Beginner,22.0,0.87,15.267,90.0,Normal,0.029
42,Male,80.4,1.84,183.0,115.0,71.0,0.51,226.0,Walking,19.9,2.6,3,Beginner,23.7,0.628,7.386,112.0,Normal,0.032
38,Male,86.1,1.93,183.0,153.0,75.0,0.5,391.0,Rowing,18.2,2.3,2,Beginner,23.0,0.836,13.033,108.0,Normal,0.027
33,Female,57.8,1.77,193.0,146.0,73.0,0.57,219.0,Boxing,21.7,2.0,2,Beginner,18.5,0.756,6.404,120.0,Normal,0.035
28,Female,59.4,1.65,194.0,147.0,80.0,0.62,306.0,Swimming,29.1,2.1,2,Beginner,21.9,0.758,8.226,114.0,Normal,0.035
26,Female,73.2,1.74,197.0,162.0,80.0,0.59,383.0,Cycling,27.2,2.4,3,Beginner,24.1,0.822,10.819,117.0,Normal,0.033
33,Female,56.5,1.65,192.0,143.0,74.0,0.86,403.0,Swimming,23.8,2.1,4,Intermediate,20.6,0.745,7.81,118.0,Normal,0.037
55,Female,59.9,1.57,163.0,114.0,70.0,1.12,484.0,Soccer,26.7,2.3,5,Advanced,24.4,0.699,7.202,93.0,Normal,0.038
51,Male,83.4,1.74,166.0,109.0,58.0,0.91,579.0,Aerobics,18.7,2.6,4,Professional,27.5,0.657,10.604,108.0,Overweight,0.031
36,Female,88.1,1.79,179.0,129.0,80.0,0.67,402.0,Running,32.7,2.6,2,Beginner,27.4,0.721,10.0,99.0,Overweight,0.03
27,Non-binary,62.0,1.64,203.0,148.0,71.0,0.78,322.0,Aerobics,22.1,2.2,3,Intermediate,23.2,0.729,6.88,132.0,Normal,0.035
29,Male,87.7,1.89,186.0,117.0,60.0,0.8,359.0,Walking,14.3,2.7,4,Advanced,24.5,0.629,7.479,126.0,Normal,0.031
22,Male,86.7,1.63,204.0,159.0,80.0,0.64,528.0,Cycling,29.3,2.5,3,Beginner,32.5,0.779,13.75,124.0,Obese,0.029
19,Female,72.4,1.74,202.0,150.0,74.0,0.71,349.0,Boxing,26.2,2.2,2,Beginner,23.8,0.743,8.192,128.0,Normal,0.03
49,Female,53.4,1.7,177.0,137.0,78.0,0.58,273.0,Rowing,21.6,1.9,5,Beginner,18.5,0.774,7.845,99.0,Normal,0.036
34,Male,89.3,1.74,190.0,136.0,76.0,0.64,442.0,Strength Training,27.6,2.5,3,Beginner,29.6,0.716,11.51,114.0,Overweight,0.028
62,Male,60.9,1.57,164.0,119.0,68.0,0.81,388.0,Soccer,18.3,2.0,4,Intermediate,24.8,0.726,7.984,96.0,Normal,0.033
46,Female,71.6,1.52,180.0,159.0,75.0,0.71,499.0,Running,39.8,2.3,3,Beginner,31.1,0.883,11.714,105.0,Obese,0.032
39,Male,67.6,1.72,179.0,146.0,60.0,0.94,696.0,Running,18.9,2.4,4,Intermediate,23.0,0.816,12.34,119.0,Normal,0.036
41,Male,88.2,1.92,176.0,136.0,78.0,0.79,515.0,Strength Training,20.7,2.8,2,Beginner,23.8,0.773,10.865,98.0,Normal,0.032
19,Female,94.8,1.71,197.0,143.0,60.0,0.8,536.0,Soccer,34.7,2.6,3,Intermediate,32.4,0.726,11.167,137.0,Obese,0.027
18,Female,84.1,1.76,207.0,153.0,79.0,0.7,450.0,Soccer,31.3,2.8,3,Beginner,27.3,0.739,10.714,128.0,Overweight,0.033
32,Male,60.2,1.8,185.0,153.0,64.0,0.88,606.0,HIIT,9.1,2.1,5,Advanced,18.5,0.827,11.477,121.0,Normal,0.035
57,Male,92.2,1.92,167.0,114.0,77.0,0.61,369.0,Running,21.0,2.9,3,Intermediate,25.0,0.683,10.082,90.0,Overweight,0.031
40,Male,82.2,1.69,177.0,134.0,68.0,0.67,536.0,HIIT,23.2,2.3,4,Intermediate,28.8,0.757,13.333,109.0,Overweight,0.028
36,Male,65.4,1.69,186.0,151.0,74.0,0.66,374.0,Cycling,16.6,2.1,2,Beginner,22.8,0.812,9.444,112.0,Normal,0.032
35,Male,77.4,1.8,192.0,146.0,70.0,0.8,544.0,Cycling,16.5,2.6,4,Intermediate,24.0,0.76,11.333,122.0,Normal,0.034
32,Female,56.6,1.57,190.0,136.0,66.0,0.75,302.0,Running,24.6,2.1,4,Intermediate,22.9,0.716,6.711,124.0,Normal,0.037
18,Male,71.4,1.74,203.0,137.0,71.0,0.65,214.0,Yoga,19.8,2.0,4,Beginner,23.5,0.675,5.487,132.0,Normal,0.028
53,Female,75.1,1.65,160.0,111.0,78.0,0.62,357.0,Boxing,31.4,2.5,2,Intermediate,27.5,0.694,9.597,82.0,Overweight,0.033
38,Non-binary,60.5,1.66,183.0,124.0,71.0,0.89,396.0,Running,20.0,2.1,3,Intermediate,22.1,0.678,7.416,112.0,Normal,0.035
23,Male,71.8,1.68,191.0,166.0,82.0,0.56,398.0,HIIT,22.8,2.5,4,Beginner,25.3,0.869,11.845,109.0,Overweight,0.035
19,Male,82.6,1.69,205.0,161.0,67.0,0.74,656.0,Running,19.3,2.5,4,Intermediate,29.0,0.785,14.775,138.0,Overweight,0.03
29,Male,93.6,1.83,182.0,139.0,78.0,0.65,470.0,Tennis,26.8,2.9,5,Beginner,28.0,0.764,12.051,104.0,Overweight,0.031
33,Male,86.0,1.85,190.0,136.0,67.0,0.65,416.0,Running,16.4,2.8,3,Intermediate,25.1,0.716,10.667,123.0,Overweight,0.033
22,Male,62.9,1.68,202.0,121.0,69.0,0.75,209.0,Pilates,15.4,1.9,2,Intermediate,22.3,0.599,4.644,133.0,Normal,0.03
40,Male,55.3,1.73,188.0,165.0,78.0,0.53,329.0,HIIT,16.3,2.0,5,Beginner,18.5,0.878,10.346,110.0,Normal,0.036
35,Male,77.2,1.83,187.0,156.0,73.0,0.86,673.0,Running,18.0,2.6,5,Beginner,23.0,0.834,13.043,114.0,Normal,0.034
55,Male,71.7,1.76,160.0,107.0,61.0,0.93,475.0,Aerobics,13.8,2.1,5,Professional,23.1,0.669,8.513,99.0,Normal,0.029
24,Male,74.7,1.75,201.0,134.0,73.0,0.71,348.0,Strength Training,15.6,2.3,2,Intermediate,24.3,0.667,8.169,128.0,Normal,0.031
38,Male,107.6,1.9,181.0,138.0,66.0,0.84,775.0,Cycling,24.1,2.8,2,Intermediate,29.7,0.762,15.377,115.0,Overweight,0.026
30,Male,80.2,1.66,193.0,119.0,71.0,0.79,306.0,Pilates,19.9,2.3,4,Advanced,29.0,0.617,6.456,122.0,Overweight,0.029
32,Female,67.2,1.58,183.0,158.0,66.0,0.71,529.0,Running,33.6,2.2,3,Beginner,26.9,0.863,12.418,117.0,Overweight,0.033
57,Female,76.2,1.71,160.0,107.0,73.0,0.62,347.0,Aerobics,36.2,2.4,3,Intermediate,26.0,0.669,9.328,87.0,Overweight,0.031
28,Male,77.8,1.81,191.0,155.0,82.0,0.71,515.0,Rowing,18.1,2.2,3,Beginner,23.7,0.812,12.089,109.0,Normal,0.028
19,Female,65.3,1.61,202.0,144.0,79.0,0.53,229.0,Tennis,28.3,2.0,2,Beginner,25.3,0.713,7.201,123.0,Overweight,0.031
30,Male,56.4,1.75,189.0,153.0,60.0,1.08,692.0,Running,5.6,2.1,4,Advanced,18.5,0.81,10.679,129.0,Normal,0.037
28,Male,93.8,1.9,195.0,147.0,78.0,0.75,552.0,Strength Training,22.3,2.6,5,Beginner,26.0,0.754,12.267,117.0,Overweight,0.028
32,Male,89.7,1.67,188.0,136.0,79.0,0.61,398.0,Running,30.2,2.4,3,Beginner,32.0,0.723,10.874,109.0,Obese,0.027
26,Male,66.2,1.8,191.0,149.0,76.0,0.72,369.0,Tennis,15.4,2.1,5,Beginner,20.5,0.78,8.542,115.0,Normal,0.032
55,Female,61.8,1.53,161.0,118.0,62.0,1.01,621.0,Cycling,34.1,2.2,4,Intermediate,26.4,0.733,10.248,99.0,Overweight,0.036
31,Male,84.9,1.75,180.0,132.0,73.0,0.99,647.0,Strength Training,24.5,2.6,4,Intermediate,27.8,0.733,10.892,107.0,Overweight,0.031
39,Male,72.6,1.69,179.0,150.0,68.0,0.5,368.0,HIIT,18.0,2.2,4,Beginner,25.5,0.838,12.267,111.0,Overweight,0.03
27,Female,48.7,1.62,194.0,142.0,79.0,0.61,200.0,Boxing,22.6,1.9,4,Beginner,18.5,0.732,5.464,115.0,Normal,0.039
46,Female,51.1,1.6,168.0,102.0,71.0,0.81,222.0,Walking,24.8,1.9,5,Intermediate,19.9,0.607,4.568,97.0,Normal,0.037
52,Female,63.5,1.69,160.0,117.0,70.0,0.94,496.0,Rowing,25.7,2.1,3,Advanced,22.3,0.731,8.794,90.0,Normal,0.033
41,Male,67.0,1.77,176.0,121.0,69.0,1.02,469.0,Soccer,13.8,2.4,3,Advanced,21.4,0.688,7.663,107.0,Normal,0.036
18,Female,65.4,1.58,198.0,153.0,75.0,0.64,280.0,Running,31.5,2.3,3,Beginner,26.3,0.773,7.292,123.0,Overweight,0.035
23,Female,97.1,1.77,207.0,128.0,70.0,0.57,249.0,Pilates,37.2,2.8,2,Beginner,31.0,0.618,7.281,137.0,Obese,0.029
32,Male,97.9,1.93,188.0,128.0,73.0,0.98,697.0,Aerobics,17.4,2.7,5,Advanced,26.4,0.681,11.854,115.0,Overweight,0.028
38,Male,61.2,1.82,179.0,112.0,83.0,0.6,200.0,Yoga,10.2,2.0,5,Beginner,18.5,0.626,5.556,96.0,Normal,0.033
18,Male,71.7,1.83,206.0,129.0,81.0,0.5,200.0,Yoga,13.8,2.3,2,Beginner,21.4,0.626,6.667,125.0,Normal,0.032
63,Male,63.4,1.85,160.0,100.0,71.0,0.72,238.0,Walking,13.7,2.2,3,Intermediate,18.5,0.625,5.509,89.0,Normal,0.035
18,Female,57.4,1.61,207.0,150.0,73.0,0.62,255.0,Boxing,26.4,2.0,2,Beginner,22.1,0.725,6.855,134.0,Normal,0.035
29,Male,72.2,1.83,201.0,156.0,67.0,0.64,332.0,Aerobics,15.3,2.3,3,Beginner,21.6,0.776,8.646,134.0,Normal,0.032
39,Female,95.8,1.77,175.0,131.0,81.0,0.56,377.0,Boxing,38.0,3.0,3,Beginner,30.6,0.749,11.22,94.0,Obese,0.031
34,Male,68.7,1.75,190.0,118.0,74.0,0.51,200.0,Yoga,13.4,2.2,2,Beginner,22.5,0.621,6.536,116.0,Normal,0.032
37,Female,65.5,1.57,183.0,115.0,55.0,1.05,444.0,Running,26.3,2.1,5,Professional,26.7,0.628,7.048,128.0,Overweight,0.032
28,Male,71.0,1.78,183.0,131.0,69.0,0.67,347.0,Aerobics,16.4,2.5,4,Beginner,22.4,0.716,8.632,114.0,Normal,0.035
57,Female,48.4,1.5,164.0,119.0,70.0,0.64,216.0,Soccer,28.6,1.8,3,Intermediate,21.5,0.726,5.625,94.0,Normal,0.037
27,Male,81.8,1.84,194.0,162.0,71.0,0.86,699.0,Cycling,19.4,2.8,2,Beginner,24.2,0.835,13.547,123.0,Normal,0.034
33,Male,82.7,1.7,184.0,143.0,81.0,0.5,355.0,Rowing,24.5,2.6,2,Beginner,28.5,0.777,11.833,103.0,Overweight,0.031
31,Male,92.8,1.81,189.0,151.0,83.0,0.6,545.0,Rowing,26.4,2.6,2,Beginner,28.3,0.799,15.139,106.0,Overweight,0.028
47,Female,76.4,1.53,163.0,100.0,70.0,0.74,328.0,Walking,39.4,2.6,3,Intermediate,32.8,0.613,7.387,93.0,Obese,0.034
19,Female,64.9,1.68,209.0,150.0,74.0,0.69,292.0,Boxing,28.5,2.0,3,Beginner,23.0,0.718,7.053,135.0,Normal,0.031
19,Male,87.3,1.96,200.0,139.0,69.0,0.67,405.0,Aerobics,16.6,2.8,2,Intermediate,22.7,0.695,10.075,131.0,Normal,0.032
27,Male,69.1,1.84,187.0,108.0,65.0,1.01,312.0,Yoga,11.7,2.2,5,Advanced,20.3,0.578,5.149,122.0,Normal,0.032
18,Male,73.9,1.79,210.0,170.0,79.0,0.54,459.0,CrossFit,15.6,2.2,3,Beginner,23.0,0.81,14.167,131.0,Normal,0.03
47,Male,82.0,1.8,181.0,151.0,74.0,0.86,663.0,Swimming,27.3,2.8,3,Beginner,25.3,0.834,12.849,107.0,Overweight,0.034
32,Female,46.5,1.5,194.0,149.0,73.0,0.56,200.0,Aerobics,26.3,1.9,4,Beginner,20.5,0.768,5.952,121.0,Normal,0.041
33,Male,72.3,1.72,194.0,162.0,74.0,0.5,350.0,CrossFit,20.1,2.2,5,Beginner,24.3,0.835,11.667,120.0,Normal,0.03
31,Female,71.3,1.61,194.0,145.0,70.0,1.13,798.0,Swimming,30.2,2.2,5,Advanced,27.7,0.747,11.77,124.0,Overweight,0.031
20,Female,51.2,1.54,202.0,142.0,82.0,0.64,229.0,Tennis,25.7,1.7,4,Intermediate,21.6,0.703,5.964,120.0,Normal,0.033
18,Male,69.6,1.75,196.0,153.0,70.0,0.66,309.0,Tennis,18.0,2.1,3,Beginner,22.6,0.781,7.803,126.0,Normal,0.03
33,Female,79.1,1.65,190.0,132.0,65.0,1.13,577.0,Soccer,32.9,2.6,2,Advanced,28.9,0.695,8.51,125.0,Overweight,0.033
27,Male,83.6,1.89,197.0,142.0,71.0,0.82,461.0,Tennis,14.1,2.5,4,Intermediate,23.4,0.721,9.37,126.0,Normal,0.03
24,Female,45.3,1.57,190.0,159.0,76.0,0.5,258.0,HIIT,20.9,1.8,2,Beginner,18.5,0.837,8.6,114.0,Normal,0.04
42,Female,46.5,1.53,185.0,162.0,71.0,0.55,248.0,HIIT,28.3,1.6,3,Beginner,19.8,0.876,7.515,114.0,Normal,0.034
27,Male,79.0,1.88,198.0,139.0,68.0,0.71,383.0,Boxing,13.8,2.6,4,Intermediate,22.4,0.702,8.991,130.0,Normal,0.033
23,Male,74.0,1.75,188.0,129.0,63.0,0.84,464.0,Aerobics,14.1,2.2,4,Advanced,24.1,0.686,9.206,125.0,Normal,0.03
49,Female,50.6,1.65,177.0,109.0,67.0,1.14,267.0,Yoga,19.6,1.9,4,Advanced,18.5,0.616,3.904,110.0,Normal,0.038
27,Male,95.0,1.85,203.0,144.0,69.0,0.98,634.0,Tennis,18.5,2.8,4,Advanced,27.8,0.709,10.782,134.0,Overweight,0.029
29,Female,72.8,1.7,196.0,146.0,69.0,0.59,299.0,Boxing,28.0,2.4,2,Beginner,25.3,0.745,8.446,127.0,Overweight,0.033
36,Female,84.2,1.69,189.0,138.0,65.0,0.98,618.0,Boxing,31.8,2.6,5,Advanced,29.3,0.73,10.51,124.0,Overweight,0.031
37,Female,72.9,1.71,182.0,156.0,81.0,0.5,365.0,HIIT,29.9,2.3,2,Beginner,25.1,0.857,12.167,101.0,Overweight,0.032
38,Male,84.1,1.86,176.0,128.0,75.0,0.71,433.0,Tennis,19.6,2.5,4,Beginner,24.2,0.727,10.164,101.0,Normal,0.03
40,Female,83.0,1.65,177.0,143.0,76.0,0.54,444.0,Rowing,39.1,2.4,5,Beginner,30.3,0.808,13.704,101.0,Obese,0.029
42,Female,79.5,1.66,185.0,131.0,68.0,0.76,513.0,Rowing,35.5,2.4,3,Intermediate,28.8,0.708,11.25,117.0,Overweight,0.03
45,Female,45.0,1.55,171.0,123.0,64.0,0.95,368.0,Swimming,13.0,1.9,3,Advanced,18.5,0.719,6.456,107.0,Normal,0.042
24,Male,78.6,1.91,204.0,161.0,67.0,0.76,617.0,Running,16.7,2.7,3,Intermediate,21.5,0.789,13.531,137.0,Normal,0.034
27,Male,72.1,1.64,200.0,159.0,75.0,0.8,542.0,Swimming,22.5,2.2,2,Beginner,26.7,0.795,11.292,125.0,Overweight,0.031
38,Male,79.9,1.74,185.0,128.0,64.0,1.13,606.0,Boxing,19.6,2.6,5,Advanced,26.5,0.692,8.938,121.0,Overweight,0.033
19,Female,60.1,1.65,195.0,156.0,74.0,0.86,466.0,Swimming,25.6,2.3,2,Beginner,22.0,0.8,9.031,121.0,Normal,0.038
18,Non-binary,77.2,1.72,193.0,116.0,63.0,0.83,303.0,Pilates,22.4,2.6,3,Intermediate,26.0,0.601,6.084,130.0,Overweight,0.034
18,Female,52.4,1.63,203.0,157.0,69.0,0.68,332.0,Cycling,24.1,1.9,4,Beginner,19.7,0.773,8.137,134.0,Normal,0.036
23,Male,101.0,1.84,191.0,156.0,73.0,0.5,566.0,CrossFit,25.3,2.9,2,Beginner,29.8,0.817,18.867,118.0,Overweight,0.029
31,Male,94.9,1.87,188.0,129.0,73.0,0.76,518.0,Boxing,25.2,2.6,5,Intermediate,27.3,0.686,11.36,115.0,Overweight,0.027
25,Male,90.3,1.75,194.0,151.0,67.0,0.63,541.0,Rowing,24.0,2.5,4,Intermediate,29.5,0.778,14.312,127.0,Overweight,0.028
19,Male,111.7,1.9,202.0,167.0,65.0,0.75,787.0,CrossFit,17.6,3.3,5,Advanced,31.1,0.827,17.489,137.0,Obese,0.03
35,Female,62.2,1.7,190.0,111.0,68.0,0.68,202.0,Yoga,24.4,2.2,5,Intermediate,21.6,0.584,4.951,122.0,Normal,0.035
28,Male,102.0,1.97,201.0,166.0,65.0,0.53,564.0,HIIT,25.5,2.8,4,Beginner,26.4,0.826,17.736,136.0,Overweight,0.027
24,Male,50.7,1.65,189.0,141.0,76.0,0.6,228.0,Aerobics,9.6,1.9,3,Beginner,18.5,0.746,6.333,113.0,Normal,0.037
